Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
road,within Bangkok,Public,ขสมก.,BMTA buses,21/01/2025,people,"571,250"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),21/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),21/01/2025,people,"383,832"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,21/01/2025,people,"14,538"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,21/01/2025,people,"23,039"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,21/01/2025,people,"23,978"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,21/01/2025,people,"2,806"
River,within Bangkok,Public,จท.,Regional boats,21/01/2025,people,"196,801"
Railway,Inter-provincial travel,Public,รฟท.,Trains,21/01/2025,people,"68,489"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,21/01/2025,people,"507,524"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,21/01/2025,people,"81,595"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,21/01/2025,people,"45,854"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,21/01/2025,people,"66,272"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,21/01/2025,people,"75,298"
Railway,within Bangkok,Public,กทม.,BTS electric trains,21/01/2025,people,"831,838"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,21/01/2025,people,"38,466"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,21/01/2025,people,"18,643"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,21/01/2025,people,"27,988"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,21/01/2025,people,"28,995"
Air,Inter-provincial travel,Public,ทย.,Regional airports,21/01/2025,people,"18,453"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,21/01/2025,people,304
Air,Inter-provincial travel,Public,กพท.,Samui Airport,21/01/2025,people,"4,444"
road,International traveling,Public,บขส.,Bus Inbound,21/01/2025,people,578
road,International traveling,Public,บขส.,Bus Outbound,21/01/2025,people,"1,362"
Railway,International traveling,Public,รฟท.,Train Inbound,21/01/2025,people,270
Railway,International traveling,Public,รฟท.,Train Outbound,21/01/2025,people,215
River,International traveling,Public,จท.,Border Port Inbound,21/01/2025,people,966
River,International traveling,Public,จท.,Border Port Outbound,21/01/2025,people,957
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,21/01/2025,people,"76,425"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,21/01/2025,people,"63,991"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,21/01/2025,people,"19,852"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,21/01/2025,people,"18,283"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,21/01/2025,people,"25,993"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,21/01/2025,people,"28,047"
Air,International traveling,Public,ทย.,Regional Airports Inbound,21/01/2025,people,"1,167"
Air,International traveling,Public,ทย.,Regional Airports Outbound,21/01/2025,people,"1,081"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,22/01/2025,people,"96,034"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,22/01/2025,people,"5,445"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),22/01/2025,Units,"782,679"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),22/01/2025,Units,"950,120"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),22/01/2025,Units,"1,643,380"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),22/01/2025,Units,"1,720,724"
road,within Bangkok,Public,ขบ.,Category 4,22/01/2025,people,"1,079"
road,within Bangkok,Public,ขสมก.,BMTA buses,22/01/2025,people,"562,590"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),22/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),22/01/2025,people,"377,598"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,22/01/2025,people,"14,432"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,22/01/2025,people,"23,310"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,22/01/2025,people,"23,999"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,22/01/2025,people,"3,714"
River,within Bangkok,Public,จท.,Regional boats,22/01/2025,people,"198,670"
Railway,Inter-provincial travel,Public,รฟท.,Trains,22/01/2025,people,"67,432"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,22/01/2025,people,"503,881"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,22/01/2025,people,"81,245"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,22/01/2025,people,"45,994"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,22/01/2025,people,"65,100"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,22/01/2025,people,"75,909"
Railway,within Bangkok,Public,กทม.,BTS electric trains,22/01/2025,people,"842,237"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,22/01/2025,people,"39,005"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,22/01/2025,people,"18,544"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,22/01/2025,people,"27,464"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,22/01/2025,people,"29,439"
Air,Inter-provincial travel,Public,ทย.,Regional airports,22/01/2025,people,"19,541"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,22/01/2025,people,131
Air,Inter-provincial travel,Public,กพท.,Samui Airport,22/01/2025,people,"4,210"
road,International traveling,Public,บขส.,Bus Inbound,22/01/2025,people,526
road,International traveling,Public,บขส.,Bus Outbound,22/01/2025,people,"1,483"
Railway,International traveling,Public,รฟท.,Train Inbound,22/01/2025,people,255
Railway,International traveling,Public,รฟท.,Train Outbound,22/01/2025,people,340
River,International traveling,Public,จท.,Border Port Inbound,22/01/2025,people,"2,458"
River,International traveling,Public,จท.,Border Port Outbound,22/01/2025,people,"2,528"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,22/01/2025,people,"79,168"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,22/01/2025,people,"65,391"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,22/01/2025,people,"21,854"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,22/01/2025,people,"18,081"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,22/01/2025,people,"25,248"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,22/01/2025,people,"25,950"
Air,International traveling,Public,ทย.,Regional Airports Inbound,22/01/2025,people,"1,663"
Air,International traveling,Public,ทย.,Regional Airports Outbound,22/01/2025,people,"1,568"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,23/01/2025,people,"93,750"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,23/01/2025,people,"5,088"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),23/01/2025,Units,"791,237"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),23/01/2025,Units,"956,219"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),23/01/2025,Units,"1,649,952"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),23/01/2025,Units,"1,726,241"
road,within Bangkok,Public,ขบ.,Category 4,23/01/2025,people,"1,131"
road,within Bangkok,Public,ขสมก.,BMTA buses,23/01/2025,people,"552,743"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),23/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),23/01/2025,people,"373,626"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,23/01/2025,people,"14,432"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,23/01/2025,people,"23,046"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,23/01/2025,people,"24,222"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,23/01/2025,people,"2,640"
River,within Bangkok,Public,จท.,Regional boats,23/01/2025,people,"189,740"
Railway,Inter-provincial travel,Public,รฟท.,Trains,23/01/2025,people,"69,978"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,23/01/2025,people,"493,153"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,23/01/2025,people,"78,657"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,23/01/2025,people,"46,027"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,23/01/2025,people,"64,061"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,23/01/2025,people,"75,790"
Railway,within Bangkok,Public,กทม.,BTS electric trains,23/01/2025,people,"823,589"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,23/01/2025,people,"38,450"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,23/01/2025,people,"18,820"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,23/01/2025,people,"28,508"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,23/01/2025,people,"29,880"
Air,Inter-provincial travel,Public,ทย.,Regional airports,23/01/2025,people,"19,001"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,23/01/2025,people,282
Air,Inter-provincial travel,Public,กพท.,Samui Airport,23/01/2025,people,"4,395"
road,International traveling,Public,บขส.,Bus Inbound,23/01/2025,people,588
road,International traveling,Public,บขส.,Bus Outbound,23/01/2025,people,"1,400"
Railway,International traveling,Public,รฟท.,Train Inbound,23/01/2025,people,373
Railway,International traveling,Public,รฟท.,Train Outbound,23/01/2025,people,273
River,International traveling,Public,จท.,Border Port Inbound,23/01/2025,people,"2,737"
River,International traveling,Public,จท.,Border Port Outbound,23/01/2025,people,"2,617"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,23/01/2025,people,"80,350"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,23/01/2025,people,"63,042"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,23/01/2025,people,"21,392"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,23/01/2025,people,"18,337"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,23/01/2025,people,"29,133"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,23/01/2025,people,"27,067"
Air,International traveling,Public,ทย.,Regional Airports Inbound,23/01/2025,people,"1,536"
Air,International traveling,Public,ทย.,Regional Airports Outbound,23/01/2025,people,"1,248"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,24/01/2025,people,"99,536"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,24/01/2025,people,"6,032"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),24/01/2025,Units,"873,568"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),24/01/2025,Units,"1,042,466"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),24/01/2025,Units,"1,766,361"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),24/01/2025,Units,"1,842,280"
road,within Bangkok,Public,ขบ.,Category 4,24/01/2025,people,890
road,within Bangkok,Public,ขสมก.,BMTA buses,24/01/2025,people,"546,335"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),24/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),24/01/2025,people,"359,385"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,24/01/2025,people,"14,856"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,24/01/2025,people,"23,415"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,24/01/2025,people,"24,321"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,24/01/2025,people,"3,718"
River,within Bangkok,Public,จท.,Regional boats,24/01/2025,people,"195,817"
Railway,Inter-provincial travel,Public,รฟท.,Trains,24/01/2025,people,"82,473"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,24/01/2025,people,"505,813"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,24/01/2025,people,"80,225"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,24/01/2025,people,"47,386"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,24/01/2025,people,"68,812"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,24/01/2025,people,"79,286"
Railway,within Bangkok,Public,กทม.,BTS electric trains,24/01/2025,people,"851,375"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,24/01/2025,people,"41,402"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,24/01/2025,people,"19,557"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,24/01/2025,people,"30,109"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,24/01/2025,people,"29,966"
Air,Inter-provincial travel,Public,ทย.,Regional airports,24/01/2025,people,"20,957"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,24/01/2025,people,148
Air,Inter-provincial travel,Public,กพท.,Samui Airport,24/01/2025,people,"4,068"
road,International traveling,Public,บขส.,Bus Inbound,24/01/2025,people,638
road,International traveling,Public,บขส.,Bus Outbound,24/01/2025,people,"1,570"
Railway,International traveling,Public,รฟท.,Train Inbound,24/01/2025,people,437
Railway,International traveling,Public,รฟท.,Train Outbound,24/01/2025,people,344
River,International traveling,Public,จท.,Border Port Inbound,24/01/2025,people,"2,949"
River,International traveling,Public,จท.,Border Port Outbound,24/01/2025,people,"2,718"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,24/01/2025,people,"84,283"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,24/01/2025,people,"66,453"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,24/01/2025,people,"22,977"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,24/01/2025,people,"18,319"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,24/01/2025,people,"27,237"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,24/01/2025,people,"26,030"
Air,International traveling,Public,ทย.,Regional Airports Inbound,24/01/2025,people,"1,082"
Air,International traveling,Public,ทย.,Regional Airports Outbound,24/01/2025,people,989
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,25/01/2025,people,"102,286"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,25/01/2025,people,"5,052"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),25/01/2025,Units,"899,360"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),25/01/2025,Units,"1,049,161"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),25/01/2025,Units,"1,525,017"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),25/01/2025,Units,"1,583,106"
road,within Bangkok,Public,ขบ.,Category 4,25/01/2025,people,790
road,within Bangkok,Public,ขสมก.,BMTA buses,25/01/2025,people,"580,287"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),25/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),25/01/2025,people,"287,398"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,25/01/2025,people,"8,561"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,25/01/2025,people,"7,338"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,25/01/2025,people,"24,672"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,25/01/2025,people,"3,284"
River,within Bangkok,Public,จท.,Regional boats,25/01/2025,people,"199,495"
Railway,Inter-provincial travel,Public,รฟท.,Trains,25/01/2025,people,"75,303"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,25/01/2025,people,"451,251"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,25/01/2025,people,"59,160"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,25/01/2025,people,"63,796"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,25/01/2025,people,"79,062"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,25/01/2025,people,"68,903"
Railway,within Bangkok,Public,กทม.,BTS electric trains,25/01/2025,people,"876,569"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,25/01/2025,people,"35,705"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,25/01/2025,people,"18,735"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,25/01/2025,people,"26,226"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,25/01/2025,people,"29,259"
Air,Inter-provincial travel,Public,ทย.,Regional airports,25/01/2025,people,"20,068"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,25/01/2025,people,135
Air,Inter-provincial travel,Public,กพท.,Samui Airport,25/01/2025,people,"4,329"
road,International traveling,Public,บขส.,Bus Inbound,25/01/2025,people,658
road,International traveling,Public,บขส.,Bus Outbound,25/01/2025,people,"1,373"
Railway,International traveling,Public,รฟท.,Train Inbound,25/01/2025,people,560
Railway,International traveling,Public,รฟท.,Train Outbound,25/01/2025,people,371
River,International traveling,Public,จท.,Border Port Inbound,25/01/2025,people,"2,791"
River,International traveling,Public,จท.,Border Port Outbound,25/01/2025,people,"2,706"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,25/01/2025,people,"86,434"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,25/01/2025,people,"67,545"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,25/01/2025,people,"22,730"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,25/01/2025,people,"19,538"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,25/01/2025,people,"30,333"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,25/01/2025,people,"28,234"
Air,International traveling,Public,ทย.,Regional Airports Inbound,25/01/2025,people,"1,281"
Air,International traveling,Public,ทย.,Regional Airports Outbound,25/01/2025,people,"1,136"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,26/01/2025,people,"93,750"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,26/01/2025,people,"1,460"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),26/01/2025,Units,"896,944"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),26/01/2025,Units,"1,009,436"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),26/01/2025,Units,"1,372,797"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),26/01/2025,Units,"1,409,226"
road,within Bangkok,Public,ขบ.,Category 4,26/01/2025,people,375
road,within Bangkok,Public,ขสมก.,BMTA buses,26/01/2025,people,"596,662"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),26/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),26/01/2025,people,"255,745"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,26/01/2025,people,"7,284"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,26/01/2025,people,"7,205"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,26/01/2025,people,"24,497"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,26/01/2025,people,"3,650"
River,within Bangkok,Public,จท.,Regional boats,26/01/2025,people,"195,948"
Railway,Inter-provincial travel,Public,รฟท.,Trains,26/01/2025,people,"80,964"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,26/01/2025,people,"417,740"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,26/01/2025,people,"55,164"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,26/01/2025,people,"64,662"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,26/01/2025,people,"77,713"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,26/01/2025,people,"69,199"
Railway,within Bangkok,Public,กทม.,BTS electric trains,26/01/2025,people,"822,061"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,26/01/2025,people,"43,083"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,26/01/2025,people,"18,623"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,26/01/2025,people,"29,596"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,26/01/2025,people,"30,277"
Air,Inter-provincial travel,Public,ทย.,Regional airports,26/01/2025,people,"20,428"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,26/01/2025,people,289
Air,Inter-provincial travel,Public,กพท.,Samui Airport,26/01/2025,people,"4,259"
road,International traveling,Public,บขส.,Bus Inbound,26/01/2025,people,534
road,International traveling,Public,บขส.,Bus Outbound,26/01/2025,people,"1,587"
Railway,International traveling,Public,รฟท.,Train Inbound,26/01/2025,people,470
Railway,International traveling,Public,รฟท.,Train Outbound,26/01/2025,people,451
River,International traveling,Public,จท.,Border Port Inbound,26/01/2025,people,"3,135"
River,International traveling,Public,จท.,Border Port Outbound,26/01/2025,people,"2,921"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,26/01/2025,people,"85,048"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,26/01/2025,people,"68,533"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,26/01/2025,people,"23,546"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,26/01/2025,people,"20,709"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,26/01/2025,people,"28,592"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,26/01/2025,people,"26,920"
Air,International traveling,Public,ทย.,Regional Airports Inbound,26/01/2025,people,"1,187"
Air,International traveling,Public,ทย.,Regional Airports Outbound,26/01/2025,people,"1,034"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,27/01/2025,people,"98,653"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,27/01/2025,people,"5,704"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),27/01/2025,Units,"821,775"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),27/01/2025,Units,"976,832"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),27/01/2025,Units,"1,637,289"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),27/01/2025,Units,"1,708,010"
road,within Bangkok,Public,ขบ.,Category 4,27/01/2025,people,"1,111"
road,within Bangkok,Public,ขสมก.,BMTA buses,27/01/2025,people,"768,862"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),27/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),27/01/2025,people,"329,451"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,27/01/2025,people,"14,397"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,27/01/2025,people,"23,068"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,27/01/2025,people,"25,472"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,27/01/2025,people,"2,695"
River,within Bangkok,Public,จท.,Regional boats,27/01/2025,people,"197,863"
Railway,Inter-provincial travel,Public,รฟท.,Trains,27/01/2025,people,"73,754"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,27/01/2025,people,"606,641"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,27/01/2025,people,"94,744"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,27/01/2025,people,"78,010"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,27/01/2025,people,"107,080"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,27/01/2025,people,"90,310"
Railway,within Bangkok,Public,กทม.,BTS electric trains,27/01/2025,people,"1,075,680"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,27/01/2025,people,"46,126"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,27/01/2025,people,"18,605"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,27/01/2025,people,"27,982"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,27/01/2025,people,"30,705"
Air,Inter-provincial travel,Public,ทย.,Regional airports,27/01/2025,people,"20,415"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,27/01/2025,people,137
Air,Inter-provincial travel,Public,กพท.,Samui Airport,27/01/2025,people,"4,359"
road,International traveling,Public,บขส.,Bus Inbound,27/01/2025,people,687
road,International traveling,Public,บขส.,Bus Outbound,27/01/2025,people,"1,419"
Railway,International traveling,Public,รฟท.,Train Inbound,27/01/2025,people,474
Railway,International traveling,Public,รฟท.,Train Outbound,27/01/2025,people,462
River,International traveling,Public,จท.,Border Port Inbound,27/01/2025,people,"2,503"
River,International traveling,Public,จท.,Border Port Outbound,27/01/2025,people,"2,404"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,27/01/2025,people,"79,875"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,27/01/2025,people,"65,297"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,27/01/2025,people,"23,140"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,27/01/2025,people,"19,548"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,27/01/2025,people,"27,431"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,27/01/2025,people,"26,746"
Air,International traveling,Public,ทย.,Regional Airports Inbound,27/01/2025,people,"1,239"
Air,International traveling,Public,ทย.,Regional Airports Outbound,27/01/2025,people,"1,205"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,28/01/2025,people,"93,750"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,28/01/2025,people,"4,810"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),28/01/2025,Units,"781,091"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),28/01/2025,Units,"949,264"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),28/01/2025,Units,"1,628,260"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),28/01/2025,Units,"1,694,686"
road,within Bangkok,Public,ขบ.,Category 4,28/01/2025,people,530
road,within Bangkok,Public,ขสมก.,BMTA buses,28/01/2025,people,"740,407"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),28/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),28/01/2025,people,"311,687"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,28/01/2025,people,"14,403"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,28/01/2025,people,"22,573"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,28/01/2025,people,"23,965"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,28/01/2025,people,"2,748"
River,within Bangkok,Public,จท.,Regional boats,28/01/2025,people,"190,445"
Railway,Inter-provincial travel,Public,รฟท.,Trains,28/01/2025,people,"67,605"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,28/01/2025,people,"628,466"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,28/01/2025,people,"96,824"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,28/01/2025,people,"80,914"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,28/01/2025,people,"110,272"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,28/01/2025,people,"91,563"
Railway,within Bangkok,Public,กทม.,BTS electric trains,28/01/2025,people,"1,108,058"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,28/01/2025,people,"46,311"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,28/01/2025,people,"18,678"
